variable,appears_global_all,appears_global_in,appears_global_out,max_imp_global_all_any_outcome,max_imp_global_in_any_outcome,max_imp_global_out_any_outcome,best_rank_any,max_importance_any,n_topk_slices,n_framework_groups_topk,n_contexts_topk,any_top1,any_top3,topk_frameworks_robust,topk_contexts_robust,global_locations_robust,pisa_locations_robust,mlftau_locations_robust,mechanism_profile,pisa_profile,pisa_ict_in_profile,pisa_ict_out_profile,mlftau_profile,carry_forward_rationale,candidate_score
icdv_ict_outside_class_self,TRUE,FALSE,TRUE,0.284112195,0,0.458724535,1,1,24,3,2,TRUE,TRUE,Global_AllPredictors; Global_OutOfSchool; MLFTAU_Contextual_OutOfSchool; PISA_Contextual_OutOfSchool,All; OutOfSchool,,domain=process; domain=process | construct=context_out_of_school_experiences; domain=process | construct=students_use_of_ict_for_homework; domain=process | construct=students_use_of_ict_for_self_directed_learning,domain=individual | construct=events_time; domain=individual | construct=task_attributes,"MLFTAU: Individual | Task Attributes; Events Time; PISA_ICT_In: Not Applicable | Not Applicable; PISA_ICT_Out: Process | Students' Use of ICT for Homework; Students' Use of ICT for Self-Directed Learning | Engagement with Homework Assignments; Open Educational Resources, Learning Platforms; PISA: Process | Out-of-School Experiences; Organisation of Student Learning at School",PISA: Process | Out-of-School Experiences; Organisation of Student Learning at School,PISA_ICT_In: Not Applicable | Not Applicable,"PISA_ICT_Out: Process | Students' Use of ICT for Homework; Students' Use of ICT for Self-Directed Learning | Engagement with Homework Assignments; Open Educational Resources, Learning Platforms",MLFTAU: Individual | Task Attributes; Events Time,Peak salience (rank 1) in at least one framework/context slice,8.934892827
stdv_perseverance_agreement_self,TRUE,TRUE,TRUE,0.155416555,0.197503438,0.26935083,2,0.923496485,30,3,3,FALSE,TRUE,Global_AllPredictors; Global_InSchool; Global_OutOfSchool; MLFTAU_Contextual_InSchool; MLFTAU_Contextual_OutOfSchool; PISA_Contextual_InSchool; PISA_Contextual_OutOfSchool,All; InSchool; OutOfSchool,,domain=input; domain=input | construct=context_general_social_and_emotional_characteristics; domain=process; domain=process | construct=context_general_social_and_emotional_characteristics,domain=individual | construct=user_attributes,MLFTAU: Individual | User Attributes; PISA_ICT_In: Not Applicable | Not Applicable; PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable; PISA: Input; Process | General Social and Emotional Characteristics,PISA: Input; Process | General Social and Emotional Characteristics,PISA_ICT_In: Not Applicable | Not Applicable,PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable,MLFTAU: Individual | User Attributes,High salience (top 3) in at least one framework/context slice,8.78772039
icdv_ict_regulated_use,TRUE,TRUE,FALSE,0.239969512,0.299444777,0,1,1,24,3,2,TRUE,TRUE,Global_AllPredictors; Global_InSchool; MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,All; InSchool,,domain=context; domain=context | construct=context_organisation_of_student_learning_at_school; domain=context | construct=context_school_autonomy; domain=context | construct=context_school_culture_and_climate,domain=organisation_school | construct=facilitating_conditions; domain=organisation_school | construct=organisation_attributes,MLFTAU: Organisation/School | Organisation Attributes; Facilitating Conditions; PISA_ICT_In: Context | ICT-Related Policies and Guidelines; Teachers' and Principals' Attitudes Towards ICT; PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable; PISA: Context | School Culture and Climate; School Autonomy; Organisation of Student Learning at School,PISA: Context | School Culture and Climate; School Autonomy; Organisation of Student Learning at School,PISA_ICT_In: Context | ICT-Related Policies and Guidelines; Teachers' and Principals' Attitudes Towards ICT,PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable,MLFTAU: Organisation/School | Organisation Attributes; Facilitating Conditions,Peak salience (rank 1) in at least one framework/context slice,8.709399046
stdv_home_possessions,TRUE,FALSE,TRUE,0.42338852,0,0.68836389,2,0.958508473,21,3,2,FALSE,TRUE,Global_AllPredictors; Global_OutOfSchool; MLFTAU_Contextual_OutOfSchool; PISA_Contextual_OutOfSchool,All; OutOfSchool,,domain=context; domain=context | construct=context_economic_social_and_cultural_status; domain=input; domain=input | construct=context_economic_social_and_cultural_status,domain=organisation_family | construct=environment_attributes,"MLFTAU: Organisation/Family | Environment Attributes; PISA_ICT_In: Not Applicable | Not Applicable; PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable; PISA: Context; Input | Economic, Social, and Cultural Status","PISA: Context; Input | Economic, Social, and Cultural Status",PISA_ICT_In: Not Applicable | Not Applicable,PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable,MLFTAU: Organisation/Family | Environment Attributes,High salience (top 3) in at least one framework/context slice,8.111209378
st_overall_life_satisfaction,TRUE,TRUE,TRUE,0.106948413,0.130346438,0.186435096,1,1,22,3,2,TRUE,TRUE,Global_OutOfSchool; MLFTAU_Contextual_InSchool; MLFTAU_Contextual_OutOfSchool; PISA_Contextual_InSchool; PISA_Contextual_OutOfSchool,InSchool; OutOfSchool,,domain=output,domain=individual | construct=user_attributes; domain=individual | construct=well_being_outcomes; domain=output | construct=user_attributes; domain=output | construct=well_being_outcomes,MLFTAU: Individual; Output | User Attributes; Well-Being Outcomes; PISA_ICT_In: Not Applicable | Not Applicable; PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable; PISA: Output | Health and Well-Being,PISA: Output | Health and Well-Being,PISA_ICT_In: Not Applicable | Not Applicable,PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable,MLFTAU: Individual; Output | User Attributes; Well-Being Outcomes,Peak salience (rank 1) in at least one framework/context slice,8.096857716
stdv_career_info_seeking,TRUE,TRUE,TRUE,0.127369935,0.165394095,0.21404461,1,1,20,3,3,TRUE,TRUE,Global_AllPredictors; Global_InSchool; Global_OutOfSchool; MLFTAU_Contextual_InSchool; MLFTAU_Contextual_OutOfSchool; PISA_Contextual_InSchool; PISA_Contextual_OutOfSchool,All; InSchool; OutOfSchool,,domain=process; domain=process | construct=context_educational_pathways_and_aspirations,domain=individual | construct=behavioural_intention,MLFTAU: Individual | Behavioural Intention; PISA_ICT_In: Not Applicable | Not Applicable; PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable; PISA: Process | Educational Pathways and Aspirations,PISA: Process | Educational Pathways and Aspirations,PISA_ICT_In: Not Applicable | Not Applicable,PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable,MLFTAU: Individual | Behavioural Intention,Peak salience (rank 1) in at least one framework/context slice,8.055099513
stdv_exposure_formal_applied_math,TRUE,TRUE,FALSE,0.144891249,0.199908095,0,1,1,20,3,2,TRUE,TRUE,Global_AllPredictors; Global_InSchool; MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,All; InSchool,,domain=input; domain=input | construct=context_exposure_to_mathematics_content; domain=process; domain=process | construct=context_exposure_to_mathematics_content,domain=group_class | construct=task_attributes,MLFTAU: Group/Class | Task Attributes; PISA_ICT_In: Not Applicable | Not Applicable; PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable; PISA: Input; Process | Exposure to Mathematics Content,PISA: Input; Process | Exposure to Mathematics Content,PISA_ICT_In: Not Applicable | Not Applicable,PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable,MLFTAU: Group/Class | Task Attributes,Peak salience (rank 1) in at least one framework/context slice,7.867244968
stdv_work_for_pay,TRUE,FALSE,TRUE,0.228876501,0,0.441357258,1,1,17,3,2,TRUE,TRUE,Global_AllPredictors; Global_OutOfSchool; MLFTAU_Contextual_OutOfSchool; PISA_Contextual_OutOfSchool,All; OutOfSchool,,domain=context; domain=context | construct=context_out_of_school_experiences,domain=individual | construct=events_time; domain=organisation_family | construct=organisation_attributes,MLFTAU: Individual; Organisation/Family | Events Time; Organisation Attributes; PISA_ICT_In: Not Applicable | Not Applicable; PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable; PISA: Context | Out-of-School Experiences,PISA: Context | Out-of-School Experiences,PISA_ICT_In: Not Applicable | Not Applicable,PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable,MLFTAU: Individual; Organisation/Family | Events Time; Organisation Attributes,Peak salience (rank 1) in at least one framework/context slice,7.78467201
stdv_cognitive_activation_reasoning,TRUE,TRUE,FALSE,0.110088368,0.15825353,0,1,1,19,3,1,TRUE,TRUE,Global_InSchool; MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,InSchool,,domain=process; domain=process | construct=context_creative_thinking; domain=process | construct=context_exposure_to_mathematics_content; domain=process | construct=context_mathematics_teacher_behaviours,domain=group_class | construct=facilitating_conditions; domain=group_class | construct=task_attributes,MLFTAU: Group/Class | Task Attributes; Facilitating Conditions; PISA_ICT_In: Not Applicable | Not Applicable; PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable; PISA: Process | Exposure to Mathematics Content; Mathematics Teacher Behaviours; Creative Thinking,PISA: Process | Exposure to Mathematics Content; Mathematics Teacher Behaviours; Creative Thinking,PISA_ICT_In: Not Applicable | Not Applicable,PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable,MLFTAU: Group/Class | Task Attributes; Facilitating Conditions,Peak salience (rank 1) in at least one framework/context slice,7.423386082
scdv_total_teachers,TRUE,TRUE,FALSE,0.681599981,0.757722085,0,3,0.757722085,15,3,2,FALSE,TRUE,Global_AllPredictors; Global_InSchool; MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,All; InSchool,,domain=input; domain=input | construct=context_school_type_and_infrastructure,domain=organisation_school | construct=organisation_attributes,MLFTAU: Organisation/School | Organisation Attributes; PISA_ICT_In: Not Applicable | Not Applicable; PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable; PISA: Input | School Type and Infrastructure,PISA: Input | School Type and Infrastructure,PISA_ICT_In: Not Applicable | Not Applicable,PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable,MLFTAU: Organisation/School | Organisation Attributes,High context-conditional salience in Global in/out baseline,7.366705183
icdv_ict_use_weekend,TRUE,FALSE,TRUE,0.099849698,0,0.21592684,1,1,18,3,1,TRUE,TRUE,Global_OutOfSchool; MLFTAU_Contextual_OutOfSchool; PISA_Contextual_OutOfSchool,OutOfSchool,,domain=context; domain=context | construct=context_out_of_school_experiences; domain=process | construct=students_use_of_ict_for_leisure,domain=individual | construct=events_time; domain=individual | construct=hedonic_motivation,"MLFTAU: Individual | Hedonic Motivation; Events Time; PISA_ICT_In: Not Applicable | Not Applicable; PISA_ICT_Out: Process | Students' Use of ICT for Leisure | Technical ICT Skills (Learning-by-Doing); Accessing/Sharing Information, Content Creation; PISA: Context | Out-of-School Experiences",PISA: Context | Out-of-School Experiences,PISA_ICT_In: Not Applicable | Not Applicable,"PISA_ICT_Out: Process | Students' Use of ICT for Leisure | Technical ICT Skills (Learning-by-Doing); Accessing/Sharing Information, Content Creation",MLFTAU: Individual | Hedonic Motivation; Events Time,Peak salience (rank 1) in at least one framework/context slice,7.315701387
stdv_self_learning_efficacy,TRUE,FALSE,TRUE,0.115413367,0,0.244128775,1,1,17,3,1,TRUE,TRUE,Global_OutOfSchool; MLFTAU_Contextual_OutOfSchool; PISA_Contextual_OutOfSchool,OutOfSchool,,domain=input; domain=input | construct=context_general_social_and_emotional_characteristics; domain=process; domain=process | construct=context_general_social_and_emotional_characteristics,domain=individual | construct=user_attributes,"MLFTAU: Individual | User Attributes; Performance Expectancy; PISA_ICT_In: Not Applicable | Not Applicable; PISA_ICT_Out: Output | Cognitive Learning Outcomes; Students' Use of ICT for Self-Directed Learning | Not Applicable; Open Educational Resources, Learning Platforms; PISA: Input; Process | General Social and Emotional Characteristics",PISA: Input; Process | General Social and Emotional Characteristics,PISA_ICT_In: Not Applicable | Not Applicable,"PISA_ICT_Out: Output | Cognitive Learning Outcomes; Students' Use of ICT for Self-Directed Learning | Not Applicable; Open Educational Resources, Learning Platforms",MLFTAU: Individual | User Attributes; Performance Expectancy,Peak salience (rank 1) in at least one framework/context slice,7.217248825
stdv_math_self_efficacy_21st,TRUE,TRUE,FALSE,0.170087955,0.270523147,0,1,1,14,3,2,TRUE,TRUE,Global_AllPredictors; Global_InSchool; MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,All; InSchool,,domain=output,domain=individual | construct=user_attributes; domain=output | construct=user_attributes,"MLFTAU: Individual; Output | User Attributes; Cognitive Learning Outcomes; PISA_ICT_In: Not Applicable | Not Applicable; PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable; PISA: Output | Subject-Specific Beliefs, Attitudes, Feelings, and Behaviours; Creative Thinking","PISA: Output | Subject-Specific Beliefs, Attitudes, Feelings, and Behaviours; Creative Thinking",PISA_ICT_In: Not Applicable | Not Applicable,PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable,MLFTAU: Individual; Output | User Attributes; Cognitive Learning Outcomes,Peak salience (rank 1) in at least one framework/context slice,7.07565508
icdv_ict_use_weekday,TRUE,FALSE,TRUE,0.130833109,0,0.277183857,2,0.982865136,19,3,2,FALSE,TRUE,Global_AllPredictors; Global_OutOfSchool; MLFTAU_Contextual_OutOfSchool; PISA_Contextual_OutOfSchool,All; OutOfSchool,,domain=context; domain=context | construct=context_out_of_school_experiences; domain=process | construct=students_use_of_ict_for_leisure,domain=individual | construct=events_time; domain=individual | construct=hedonic_motivation,"MLFTAU: Individual | Hedonic Motivation; Events Time; PISA_ICT_In: Not Applicable | Not Applicable; PISA_ICT_Out: Process | Students' Use of ICT for Leisure | Technical ICT Skills (Learning-by-Doing); Accessing/Sharing Information, Content Creation; PISA: Context | Out-of-School Experiences",PISA: Context | Out-of-School Experiences,PISA_ICT_In: Not Applicable | Not Applicable,"PISA_ICT_Out: Process | Students' Use of ICT for Leisure | Technical ICT Skills (Learning-by-Doing); Accessing/Sharing Information, Content Creation",MLFTAU: Individual | Hedonic Motivation; Events Time,High salience (top 3) in at least one framework/context slice,6.997731225
stdv_bullying_experience,TRUE,TRUE,FALSE,0.12115019,0.133650751,0,1,1,17,2,1,TRUE,TRUE,MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,InSchool,,domain=process; domain=process | construct=context_general_social_and_emotional_characteristics; domain=process | construct=context_health_and_well_being; domain=process | construct=context_school_culture_and_climate,domain=individual | construct=well_being_outcomes; domain=organisation_school | construct=social_influence; domain=output | construct=well_being_outcomes,MLFTAU: Individual; Organisation/School; Output | Well-Being Outcomes; Social Influence; PISA_ICT_In: Not Applicable | Not Applicable; PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable; PISA: Process | School Culture and Climate; General Social and Emotional Characteristics; Health and Well-Being,PISA: Process | School Culture and Climate; General Social and Emotional Characteristics; Health and Well-Being,PISA_ICT_In: Not Applicable | Not Applicable,PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable,MLFTAU: Individual; Organisation/School; Output | Well-Being Outcomes; Social Influence,Peak salience (rank 1) in at least one framework/context slice,6.865376036
icdv_ict_use_subject_lessons,TRUE,TRUE,FALSE,0.074389177,0.107339326,0,1,1,17,2,1,TRUE,TRUE,MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,InSchool,,domain=process; domain=process | construct=context_organisation_of_student_learning_at_school; domain=process | construct=students_use_of_ict_in_class,domain=organisation_school | construct=facilitating_conditions; domain=organisation_school | construct=task_attributes; domain=organisation_school | construct=technology_attributes,MLFTAU: Group/Class; Organisation/School | Task Attributes; Technology Attributes; Facilitating Conditions; PISA_ICT_In: Process | Integration of ICT into Instruction; Students' Use of ICT in Class; PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable; PISA: Process | Organisation of Student Learning at School,PISA: Process | Organisation of Student Learning at School,PISA_ICT_In: Process | Integration of ICT into Instruction; Students' Use of ICT in Class,PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable,MLFTAU: Group/Class; Organisation/School | Task Attributes; Technology Attributes; Facilitating Conditions,Peak salience (rank 1) in at least one framework/context slice,6.768923091
sc_teacher_computers_internet,TRUE,TRUE,FALSE,0.047277233,0.056918757,0,1,1,17,2,1,TRUE,TRUE,MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,InSchool,,domain=context; domain=context | construct=context_school_type_and_infrastructure; domain=input | construct=context_teacher_qualification_training_and_professional_development; domain=input | construct=hardware_and_software_availability; domain=input | construct=school_ict_infrastructure,domain=organisation_school | construct=facilitating_conditions,"MLFTAU: Organisation/School | Organisation Attributes; Facilitating Conditions; Technology Attributes; PISA_ICT_In: Input | Hardware and Software Availability; School ICT Infrastructure; PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable; PISA: Input; Context | School Type and Infrastructure; Teacher Qualification, Training, and Professional Development","PISA: Input; Context | School Type and Infrastructure; Teacher Qualification, Training, and Professional Development",PISA_ICT_In: Input | Hardware and Software Availability; School ICT Infrastructure,PISA_ICT_Out: Not Applicable | Not Applicable | Not Applicable,MLFTAU: Organisation/School | Organisation Attributes; Facilitating Conditions; Technology Attributes,Peak salience (rank 1) in at least one framework/context slice,6.677834607
